bc_max,bc_mean,bc_p90,clean_count_000,clean_count_030,clean_count_035,clean_count_040,clean_count_045,clean_count_050,closed_run_count,configured_clean_count,configured_g_domain_valid,configured_support_count,configured_support_domain_valid,configured_support_seed_count,configured_support_weight,error,g_domain_valid_000,g_domain_valid_030,g_domain_valid_035,g_domain_valid_040,g_domain_valid_045,g_domain_valid_050,item_name,num_prompt_runs,open_run_count,prompt_id,prompt_ref_len_sec,prompt_ref_len_valid,prompt_speech_ratio,prompt_speech_ratio_valid,raw_silent_token_count,sep_nonzero_count,source_silence_run_count,speaker,speech_run_count,split,support_count_000,support_count_030,support_count_035,support_count_040,support_count_045,support_count_050,support_domain_valid_000,support_domain_valid_030,support_domain_valid_035,support_domain_valid_040,support_domain_valid_045,support_domain_valid_050,support_seed_count_000,support_seed_count_030,support_seed_count_035,support_seed_count_040,support_seed_count_045,support_seed_count_050,support_weight_000,support_weight_030,support_weight_035,support_weight_040,support_weight_045,support_weight_050,valid_run_count
0.45548373460769653,0.24170413613319397,0.3895998239517213,14.0,2.0,2.0,2.0,1.0,0.0,14.0,0.0,0.0,12.0,1.0,14.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,aba_train_arctic_a0009,14,0.0,arctic_a0009,3.640000104904175,1.0,1.0,1.0,0,0,0.0,aba,14.0,train,12.0,2.0,2.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,2.0,2.0,2.0,1.0,14.0,9.867162704467773,1.7776861190795898,1.7776861190795898,1.7776861190795898,0.8910967707633972,0.0,14.0
0.46970659494400024,0.24055150151252747,0.3381930738687515,16.0,3.0,1.0,1.0,1.0,0.0,16.0,0.0,0.0,14.0,1.0,16.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,aba_train_arctic_a0010,16,0.0,arctic_a0010,3.880000114440918,1.0,1.0,1.0,0,0,0.0,aba,16.0,train,14.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,3.0,1.0,1.0,1.0,16.0,11.5344877243042,0.893941342830658,0.893941342830658,0.893941342830658,0.893941342830658,0.0,16.0
0.47843247652053833,0.24243701994419098,0.3828791856765747,29.0,6.0,5.0,2.0,1.0,0.0,29.0,0.0,0.0,27.0,1.0,29.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,aba_train_arctic_a0011,29,0.0,arctic_a0011,3.759999990463257,1.0,1.0,1.0,0,0,0.0,aba,29.0,train,27.0,4.0,3.0,2.0,1.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,6.0,5.0,2.0,1.0,29.0,21.058956146240234,3.5027546882629395,2.637420892715454,1.7845419645309448,0.8956865072250366,0.0,29.0
0.48099470138549805,0.24265499413013458,0.38451772332191475,32.0,7.0,5.0,2.0,1.0,0.0,32.0,0.0,0.0,30.0,1.0,32.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,aba_train_arctic_a0012,32,0.0,arctic_a0012,4.300000190734863,1.0,1.0,1.0,0,0,0.0,aba,32.0,train,30.0,5.0,3.0,2.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,7.0,5.0,2.0,1.0,32.0,23.339275360107422,4.389081954956055,2.6610066890716553,1.7816896438598633,0.8961989283561707,0.0,32.0
0.467710018157959,0.24311895668506622,0.37203181982040406,54.0,12.0,7.0,4.0,3.0,0.0,54.0,0.0,0.0,52.0,1.0,54.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,aba_train_arctic_a0013,54,0.0,arctic_a0013,5.920000076293945,1.0,1.0,1.0,0,0,0.0,aba,54.0,train,52.0,10.0,5.0,2.0,1.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,12.0,7.0,4.0,3.0,54.0,38.99956512451172,8.777451515197754,4.427933216094971,1.7849019765853882,0.8935419917106628,0.0,54.0
0.4546239376068115,0.24349263310432434,0.4156951904296875,21.0,4.0,4.0,3.0,1.0,0.0,21.0,0.0,0.0,19.0,1.0,21.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,aba_train_arctic_a0014,21,0.0,arctic_a0014,3.5999999046325684,1.0,1.0,1.0,0,0,0.0,aba,21.0,train,19.0,2.0,2.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,4.0,4.0,3.0,1.0,21.0,14.861739158630371,1.7758080959320068,1.7758080959320068,0.8909248113632202,0.8909248113632202,0.0,21.0
,,,,,,,,,,,,,,,,"minimal_v1 prompt conditioning rejects prompt conditioning for aba_train_arctic_a0015: ref_len_sec=2.400 outside [3.0, 8.0]",,,,,,,aba_train_arctic_a0015,,,arctic_a0015,,,,,,,,aba,,train,,,,,,,,,,,,,,,,,,,,,,,,,
0.48157015442848206,0.24223069846630096,0.3667278647422791,33.0,7.0,4.0,3.0,2.0,0.0,33.0,0.0,0.0,31.0,1.0,33.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,aba_train_arctic_a0016,33,0.0,arctic_a0016,5.71999979019165,1.0,1.0,1.0,0,0,0.0,aba,33.0,train,31.0,5.0,2.0,1.0,2.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,7.0,4.0,3.0,2.0,33.0,24.440589904785156,4.38416862487793,1.7562732696533203,0.8818449378013611,1.7864960432052612,0.0,33.0
0.4838966727256775,0.24196863174438477,0.38630436658859263,32.0,7.0,6.0,3.0,1.0,0.0,32.0,0.0,0.0,30.0,1.0,32.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,asi_train_arctic_a0009,32,0.0,arctic_a0009,3.240000009536743,1.0,1.0,1.0,0,0,0.0,asi,32.0,train,30.0,5.0,4.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,7.0,6.0,3.0,1.0,32.0,23.86493682861328,4.369104862213135,3.503612756729126,0.8835633993148804,0.8967793583869934,0.0,32.0
0.39740821719169617,0.24588294327259064,0.37762986123561865,22.0,6.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,20.0,1.0,22.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,asi_train_arctic_a0010,22,0.0,arctic_a0010,3.2200000286102295,1.0,1.0,1.0,0,0,0.0,asi,22.0,train,20.0,4.0,2.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,6.0,4.0,22.0,22.0,22.0,16.369579315185547,3.496331214904785,1.7551493644714355,0.0,0.0,0.0,22.0
