c_star,candidate_token,clean_count,delta_g,delta_g_ref_minus_src_prefix,delta_g_ref_minus_src_utt,drop_edge_runs_for_g,edge_runs_dropped,fetch_index,g_domain_valid,g_ref,g_ref_status,g_src_prefix_mean,g_src_status,g_src_utt,pair_id,prompt_ref_len_sec,prompt_speech_ratio,ref_item_name,ref_len_valid,ref_spk,same_speaker_reference,same_speaker_target,same_text_reference,same_text_target,speech_ratio_valid,split,src_item_name,src_spk,support_count,support_domain_valid,support_fraction,support_seed_count,tgt_item_name,tgt_spk,zbar_sp_star
-0.7985076904296875,57,0.0,0.2231435775756836,1.2585480511188507,0.2231435775756836,1,2.0,0,0,1.6094379425048828,ok,0.3508898913860321,ok,1.3862943649291992,0,3.880000114440918,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,14.0,1.0,0.875,16.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
-0.7985076904296875,57,0.0,0.9162907600402832,1.2585480511188507,0.9162907600402832,3,6.0,0,0,1.6094379425048828,ok,0.3508898913860321,ok,0.6931471824645996,0,3.880000114440918,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,10.0,1.0,0.625,16.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
-2.079441547393799,71,5.0,1.504077434539795,2.539481908082962,1.504077434539795,1,2.0,0,1,2.890371799468994,ok,0.3508898913860321,ok,1.3862943649291992,0,3.4000000953674316,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,3.0,1.0,0.1666666716337204,5.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
0.8109302520751953,71,5.0,-0.6931471824645996,-0.3508898913860321,-0.6931471824645996,3,0.0,0,1,0.0,ok,0.3508898913860321,ok,0.6931471824645996,0,3.4000000953674316,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,5.0,1.0,0.2777777910232544,5.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
0.8109302520751953,72,1.0,-1.3862943649291992,-0.3508898913860321,-1.3862943649291992,1,0.0,0,1,0.0,ok,0.3508898913860321,ok,1.3862943649291992,0,3.8399999141693115,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,1.0,1.0,0.05882352963089943,1.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
0.8109302520751953,72,1.0,-0.6931471824645996,-0.3508898913860321,-0.6931471824645996,3,0.0,0,1,0.0,ok,0.3508898913860321,ok,0.6931471824645996,0,3.8399999141693115,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,1.0,1.0,0.05882352963089943,1.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
-3.465735912322998,63,3.0,2.890371799468994,3.9257762730121613,2.890371799468994,1,2.0,0,1,4.276666164398193,ok,0.3508898913860321,ok,1.3862943649291992,0,3.700000047683716,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,1.0,1.0,0.0714285746216774,3.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
-2.324563980102539,63,3.0,2.4423470497131348,2.7846043407917023,2.4423470497131348,3,0.0,0,1,3.1354942321777344,ok,0.3508898913860321,ok,0.6931471824645996,0,3.700000047683716,1.0,aba_train_arctic_a0010,1,aba,1,0,0,1,1,train,aba_train_arctic_a0009,aba,3.0,1.0,0.2142857164144516,3.0,bdl_train_arctic_a0009,bdl,0.6190390586853027
0.5081212520599365,57,0.0,0.056664347648620605,1.4105748534202576,0.056664347648620605,1,2.0,1,0,1.6661022901535034,ok,0.25552743673324585,ok,1.6094379425048828,1,3.640000104904175,1.0,aba_train_arctic_a0009,1,aba,1,0,0,1,1,train,aba_train_arctic_a0010,aba,12.0,1.0,0.8571428656578064,14.0,bdl_train_arctic_a0010,bdl,1.8245491981506348
0.7879291772842407,57,0.0,-0.2231435775756836,1.1307669281959534,-0.2231435775756836,3,6.0,1,0,1.3862943649291992,ok,0.25552743673324585,ok,1.6094379425048828,1,3.640000104904175,1.0,aba_train_arctic_a0009,1,aba,1,0,0,1,1,train,aba_train_arctic_a0010,aba,8.0,1.0,0.5714285969734192,14.0,bdl_train_arctic_a0010,bdl,1.8245491981506348
