abar_sp_star,abar_sp_star_runtime,amean_sp_star,amean_sp_star_runtime,analytic_gap_clip,analytic_saturation_rate,c_star,c_star_runtime,candidate_token,clean_count,cmean_sp_star,cmean_sp_star_runtime,delta_g,delta_g_ref_minus_src_prefix,delta_g_ref_minus_src_prefix_final,delta_g_ref_minus_src_utt,drop_edge_runs_for_g,edge_runs_dropped,error,fetch_index,g_domain_valid,g_ref,g_ref_status,g_src_prefix_final,g_src_prefix_mean,g_src_status,g_src_utt,pair_id,prompt_ref_len_sec,prompt_speech_ratio,protocol_misaligned,protocol_slice,ref_item_name,ref_len_valid,ref_spk,same_speaker_reference,same_speaker_target,same_text_reference,same_text_target,sample_id,speech_ratio_valid,split,src_id,src_item_name,src_prefix_stat_mode,src_spk,support_count,support_domain_valid,support_fraction,support_seed_count,tgt_item_name,tgt_spk,zbar_sp_star,zmean_sp_star
0.4897134304046631,0.3499999940395355,0.4842202443019501,0.34971786448251213,0.35,0.9545454545454546,-0.4897134304046631,-0.3499999940395355,57,11.0,-0.7278559472735279,-0.5933535697650762,0.15610015392303467,0.4830191135406494,0.3424358367919922,0.15610015392303467,1,2.0,,0,1,1.5883257389068604,ok,1.2458899021148682,1.105306625366211,ok,1.4322255849838257,0,5.239999771118164,0.8015267252922058,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,9.0,1.0,0.3214285671710968,11.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
-0.07438123226165771,-0.07438123226165771,0.033489951939512354,0.004876361185503156,0.35,0.13636363636363635,0.07438123226165771,0.07438123226165771,57,11.0,-0.27712565392066735,-0.2485120704297582,0.29628562927246094,0.037573933601379395,-0.05138373374938965,0.29628562927246094,3,6.0,,0,1,1.6566044092178345,ok,1.7079881429672241,1.619030475616455,ok,1.3603187799453735,0,5.239999771118164,0.8015267252922058,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,5.0,1.0,0.1785714328289032,11.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
0.41113555431365967,0.3499999940395355,0.40564237532276026,0.34678705637077356,0.35,0.9545454545454546,-0.41113555431365967,-0.3499999940395355,71,11.0,-0.6492780605905316,-0.5904227636341831,0.07752227783203125,0.404441237449646,0.26385796070098877,0.07752227783203125,1,2.0,,0,1,1.509747862815857,ok,1.2458899021148682,1.105306625366211,ok,1.4322255849838257,0,5.239999771118164,0.6870229244232178,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,9.0,1.0,0.375,11.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
-0.5364793539047241,-0.3499999940395355,-0.42860816462402057,-0.28084192404443303,0.35,0.7727272727272727,0.5364793539047241,0.3499999940395355,71,11.0,0.1849724814608975,0.037206225199616666,-0.16581249237060547,-0.424524188041687,-0.513481855392456,-0.16581249237060547,3,6.0,,0,1,1.194506287574768,ok,1.7079881429672241,1.619030475616455,ok,1.3603187799453735,0,5.239999771118164,0.6870229244232178,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,5.0,1.0,0.2083333283662796,11.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
0.4897134304046631,0.3499999940395355,0.4842202443019501,0.34971786448251213,0.35,0.9545454545454546,-0.4897134304046631,-0.3499999940395355,72,11.0,-0.7278559472735279,-0.5933535697650762,0.15610015392303467,0.4830191135406494,0.3424358367919922,0.15610015392303467,1,2.0,,0,1,1.5883257389068604,ok,1.2458899021148682,1.105306625366211,ok,1.4322255849838257,0,5.239999771118164,0.8015267252922058,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,9.0,1.0,0.3214285671710968,11.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
-0.07438123226165771,-0.07438123226165771,0.033489951939512354,0.004876361185503156,0.35,0.13636363636363635,0.07438123226165771,0.07438123226165771,72,11.0,-0.27712565392066735,-0.2485120704297582,0.29628562927246094,0.037573933601379395,-0.05138373374938965,0.29628562927246094,3,6.0,,0,1,1.6566044092178345,ok,1.7079881429672241,1.619030475616455,ok,1.3603187799453735,0,5.239999771118164,0.8015267252922058,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,5.0,1.0,0.1785714328289032,11.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
0.5970244407653809,0.3499999940395355,0.5915312678675563,0.34999999366129453,0.35,1.0,-0.5970244407653809,-0.3499999940395355,63,12.0,-0.8351669523512429,-0.5936357002644223,0.26341116428375244,0.5903301239013672,0.44974684715270996,0.26341116428375244,1,2.0,,0,1,1.6956367492675781,ok,1.2458899021148682,1.105306625366211,ok,1.4322255849838257,0,5.239999771118164,0.7900763154029846,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,10.0,1.0,0.37037035822868347,12.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
-0.31524550914764404,-0.31524550914764404,-0.2073743249655008,-0.2073743249655008,0.35,0.0,0.31524550914764404,0.31524550914764404,63,12.0,-0.03626137000015984,-0.03626137000015984,0.05542135238647461,-0.20329034328460693,-0.292248010635376,0.05542135238647461,3,6.0,,0,1,1.4157401323318481,ok,1.7079881429672241,1.619030475616455,ok,1.3603187799453735,0,5.239999771118164,0.7900763154029846,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0017,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0016,exact_global_family,aba,6.0,1.0,0.2222222238779068,12.0,bdl_train_arctic_a0016,bdl,0.0,-0.2436356900960822
-0.23785758018493652,-0.23785758018493652,-0.1059374183472516,-0.1059374183472516,0.35,0.0,0.6391818523406982,0.6391818523406982,57,8.0,-0.02196703269203236,-0.02196703269203236,0.798218846321106,-0.09248709678649902,0.3201345205307007,0.798218846321106,1,2.0,,1,1,2.24704909324646,ok,1.9269145727157593,2.339536190032959,ok,1.448830246925354,1,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0017,exact_global_family,aba,6.0,1.0,0.1875,8.0,bdl_train_arctic_a0017,bdl,0.40546512603759766,-0.12790444118371083
0.6750887632369995,0.3499999940395355,0.5122110054339256,0.24207443699997952,0.35,0.56,-0.504813551902771,0.055465131998062134,57,8.0,-0.6401154281215609,-0.36997887426846265,1.23991858959198,0.5361738204956055,0.9835306406021118,1.23991858959198,3,6.0,,1,1,2.602003335952759,ok,1.618472695350647,2.0658295154571533,ok,1.3620847463607788,1,5.71999979019165,0.7692307829856873,1,cross_text_prompt_vs_cross_speaker_target,aba_train_arctic_a0016,1,aba,1,0,0,1,,1,train,,aba_train_arctic_a0017,exact_global_family,aba,2.0,1.0,0.0625,8.0,bdl_train_arctic_a0017,bdl,0.40546512603759766,-0.12790444118371083
