alignment_cost_mean,alignment_coverage_mean,alignment_kind,alignment_match_mean,alignment_mean_coarse_confidence_speech,alignment_mean_local_confidence_speech,alignment_source,alignment_unmatched_speech_ratio,alignment_version,analytic_gap_abs_mean,analytic_gap_clip_value,analytic_gap_preclip_abs_mean,analytic_gap_runtime_abs_mean,analytic_saturation_rate,budget_hit_neg_rate,budget_hit_pos_rate,c_star,coarse_bias_abs_mean,coarse_scalar_raw,coarse_target_abs_err,commit_ratio,cumulative_drift,delta_g,delta_g_ref_minus_src_prefix,delta_g_ref_minus_src_prefix_neg,delta_g_ref_minus_src_utt,delta_g_ref_minus_src_utt_neg,detach_global_term_in_local_head,eval_mode,exec_total_units,final_prefix_offset,g_compute_status,g_domain_valid,g_drop_edge_runs,g_min_speech_ratio,g_ref,g_speech_count,g_src_compute_status,g_src_prefix_mean,g_src_utt,g_strict_speech_only,g_support_count,g_support_ratio_vs_speech,g_support_ratio_vs_valid,g_trim_ratio,g_valid,g_valid_count,g_valid_support,g_variant,gate0_drop_reason,gate0_row_dropped,global_rate,item_name,lexical_mismatch,local_residual_abs_mean,local_silence_delta_share,mean_speech_logstretch_continuous,mean_speech_logstretch_exec,mean_speech_logstretch_projected,oracle_bias,pair_id,predicted_bias,prefix_discrepancy,projection_conservation_error,projector_boundary_decay_rate,projector_boundary_hit_rate,projector_bucket_count,prompt_g_invalid_clean,prompt_g_invalid_low_speech_ratio,prompt_g_invalid_missing_boundary,prompt_g_invalid_missing_closed,prompt_g_invalid_no_speech,prompt_g_invalid_ref_len,prompt_g_invalid_support,prompt_g_ref,prompt_g_speech_ratio_count,prompt_g_speech_ratio_weighted,prompt_g_status,prompt_global_weight_present,prompt_speech_mask_explicit,prompt_speech_ratio,prompt_tempo_ref,prompt_total_units,prompt_unit_log_prior_present,prompt_unit_prior_vocab_size,ref_bin,ref_condition,ref_len_sec,ref_name,ref_pair_item_name,ref_prompt_id,ref_spk,reference_seconds,reference_speech_ratio,residual_bias_share,residual_gate_mean,residual_target_corr,residual_target_count,residual_target_slope,same_speaker,same_speaker_reference,same_speaker_target,same_text,same_text_reference,same_text_target,sample_id,silence_fraction,silence_leakage,silence_mae,source_name,source_run_count,source_total_units,speech_analytic_mean,speech_exec_ratio,speech_exec_ratio_continuous,speech_exec_ratio_projected,speech_mae,speech_ratio,speech_target_mean,speech_weighted_mae,split,src_id,src_prefix_stat_mode,src_prompt_id,src_spk,target_duration_surface,target_total_units,tempo_delta,tempo_out,tempo_out_continuous,tempo_out_preclip,tempo_out_preprojector,tempo_out_projected,tempo_src,tgt_prompt_id,tgt_spk,utt_id,zbar_sp_star
0.7567434906959534,1.0,continuous_viterbi_v1,0.15139064192771912,nan,nan,run_state_viterbi,nan,2026-04-13,0.25684529542922974,0.3499999940395355,0.49569398164749146,0.25684529542922974,0.4444444444444444,0.0,0.0,0.18232154846191406,0.0,-0.007977033033967018,0.19029858149588108,1.0,6.697773456573486,0.5108256340026855,0.2931147813796997,-0.2931147813796997,0.5108256340026855,-0.5108256340026855,1.0,analytic,201.0,6.697773456573486,ok,1.0,1.0,0.6000000238418579,1.6094379425048828,30.0,ok,1.316323161125183,1.0986123085021973,1.0,9.0,0.30000001192092896,0.20930232107639313,0.2,1.0,43.0,1.0,weighted_median,ok,0.0,1.6094379425048828,aba_train_arctic_a0022,nan,0.05641621723771095,nan,-0.02706112153828144,-0.046667084097862244,-0.046667084097862244,0.18232154846191406,4,-0.007977033033967018,nan,17.0,0.525,0.525,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379425048828,0.6976743936538696,0.8186046481132507,ok,1.0,1.0,0.8186046481132507,0.33333332672197086,43,0.0,0.0,slow,slow,4.3,aba_train_arctic_a0020,aba_train_arctic_a0020,aba_train_arctic_a0020,aba,4.3,0.8186046481132507,0.6986309289932251,0.6222747564315796,-0.34440165758132935,27.0,-10.876710891723633,1.0,1,nan,0.0,0,nan,aba_train_arctic_a0022::slow,0.32499998807907104,nan,1.0815786123275757,aba_train_arctic_a0022,40,196.0,0.05426580458879471,0.9930555555555556,1.0041725370619032,0.9930555555555556,1.1160746812820435,0.8186046481132507,0.042516618967056274,1.1150563955307007,,aba_train_arctic_a0022,exact_global_family,aba_train_arctic_a0022,aba,projection_raw,218.0,-0.08333332767429802,0.24999999904767284,0.2999999963575953,0.19999999398584362,0.2999999963575953,0.24999999904767284,0.33333332672197086,,,aba_train_arctic_a0022,0.0
0.7567434906959534,1.0,continuous_viterbi_v1,0.15139064192771912,nan,nan,run_state_viterbi,nan,2026-04-13,0.31537893414497375,0.3499999940395355,0.7631182074546814,0.31537893414497375,0.4444444444444444,0.0,0.0,-0.28768205642700195,0.0,-0.008047095499932766,0.2796349609270692,1.0,7.090141773223877,0.9808292388916016,0.7631183862686157,-0.7631183862686157,0.9808292388916016,-0.9808292388916016,1.0,analytic,261.0,7.090141773223877,ok,1.0,1.0,0.6000000238418579,2.079441547393799,28.0,ok,1.316323161125183,1.0986123085021973,1.0,9.0,0.3214285671710968,0.22499999403953552,0.2,1.0,40.0,1.0,weighted_median,ok,0.0,2.079441547393799,aba_train_arctic_a0022,nan,0.05726541578769684,nan,0.3058580160140991,0.29745355248451233,0.29745355248451233,-0.28768205642700195,4,-0.008047095499932766,nan,-43.0,0.525,0.525,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079441547393799,0.699999988079071,0.8015267252922058,ok,1.0,1.0,0.8015267252922058,0.18257418110551457,40,0.0,0.0,mid,mid,5.24,aba_train_arctic_a0017,aba_train_arctic_a0017,aba_train_arctic_a0017,aba,5.24,0.8015267252922058,0.7005322575569153,0.6222747564315796,-0.3462599515914917,27.0,-11.723123550415039,1.0,1,nan,0.0,0,nan,aba_train_arctic_a0022::mid,0.32499998807907104,nan,1.2021692991256714,aba_train_arctic_a0022,40,196.0,0.31537893414497375,1.3541666666666667,1.358339097764757,1.3541666666666667,1.1019810438156128,0.8015267252922058,0.042516618967056274,1.073098063468933,,aba_train_arctic_a0022,exact_global_family,aba_train_arctic_a0022,aba,projection_raw,218.0,-0.13333333273612724,0.19999999398584362,0.23489601964693185,0.12499999928575464,0.23489601964693185,0.19999999398584362,0.33333332672197086,,,aba_train_arctic_a0022,0.0
0.7567434906959534,1.0,continuous_viterbi_v1,0.15139064192771912,nan,nan,run_state_viterbi,nan,2026-04-13,0.3500000238418579,0.3499999940395355,1.4562653303146362,0.3500000238418579,1.0,0.0,0.0,-0.3499999940395355,0.0,-0.008269531652331352,0.34173046238720417,1.0,7.149431228637695,1.6739764213562012,1.4562655687332153,-1.4562655687332153,1.6739764213562012,-1.6739764213562012,1.0,analytic,270.0,7.149431228637695,ok,1.0,1.0,0.6000000238418579,2.7725887298583984,32.0,ok,1.316323161125183,1.0986123085021973,1.0,8.0,0.25,0.1702127605676651,0.2,1.0,47.0,1.0,weighted_median,ok,0.0,2.7725887298583984,aba_train_arctic_a0022,nan,0.057383183389902115,nan,0.34999996423721313,0.3437175452709198,0.3437175452709198,-0.3499999940395355,4,-0.008269531652331352,nan,-52.0,0.525,0.525,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7725887298583984,0.6808510422706604,0.8272058963775635,ok,1.0,1.0,0.8272058963775635,0.18257418110551457,47,0.0,0.0,fast,fast,5.44,aba_train_arctic_a0027,aba_train_arctic_a0027,aba_train_arctic_a0027,aba,5.44,0.8272058963775635,0.698966383934021,0.6222747564315796,-0.3272450566291809,27.0,-10.416675567626953,1.0,1,nan,0.0,0,nan,aba_train_arctic_a0022::fast,0.32499998807907104,nan,1.2021692991256714,aba_train_arctic_a0022,40,196.0,0.3500000238418579,1.4166666666666667,1.419067594740126,1.4166666666666667,1.1042890548706055,0.8272058963775635,0.042516618967056274,1.0721242427825928,,aba_train_arctic_a0022,exact_global_family,aba_train_arctic_a0022,aba,projection_raw,218.0,-0.13333333273612724,0.19999999398584362,0.23489601964693185,0.062499999523836426,0.23489601964693185,0.19999999398584362,0.33333332672197086,,,aba_train_arctic_a0022,0.0
0.7567434906959534,1.0,continuous_viterbi_v1,0.15139064192771912,nan,nan,run_state_viterbi,nan,2026-04-13,0.31537893414497375,0.3499999940395355,0.7631182074546814,0.31537893414497375,0.4444444444444444,0.0,0.0,-0.28768205642700195,0.0,-0.008047095499932766,0.2796349609270692,1.0,7.090141773223877,0.9808292388916016,0.7631183862686157,-0.7631183862686157,0.9808292388916016,-0.9808292388916016,1.0,analytic,261.0,7.090141773223877,ok,1.0,1.0,0.6000000238418579,2.079441547393799,48.0,ok,1.316323161125183,1.0986123085021973,1.0,9.0,0.1875,0.1666666716337204,0.2,1.0,54.0,1.0,weighted_median,ok,0.0,2.079441547393799,aba_train_arctic_a0022,nan,0.05726541578769684,nan,0.3058580160140991,0.29745355248451233,0.29745355248451233,-0.28768205642700195,4,-0.008047095499932766,nan,-43.0,0.525,0.525,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079441547393799,0.8888888955116272,0.9356435537338257,ok,1.0,1.0,0.9356435537338257,0.49999999904767284,54,0.0,0.0,random_ref,random_ref,4.04,bdl_train_arctic_a0017,bdl_train_arctic_a0017,bdl_train_arctic_a0017,bdl,4.04,0.9356435537338257,0.7005322575569153,0.6222747564315796,-0.3462599515914917,27.0,-11.723123550415039,0.0,0,nan,0.0,0,nan,aba_train_arctic_a0022::random_ref,0.32499998807907104,nan,1.2021692991256714,aba_train_arctic_a0022,40,196.0,0.31537893414497375,1.3541666666666667,1.358339097764757,1.3541666666666667,1.1019810438156128,0.9356435537338257,0.042516618967056274,1.073098063468933,,aba_train_arctic_a0022,exact_global_family,aba_train_arctic_a0022,aba,projection_raw,218.0,-0.13333333273612724,0.19999999398584362,0.23489601964693185,0.12499999928575464,0.23489601964693185,0.19999999398584362,0.33333332672197086,,,aba_train_arctic_a0022,0.0
0.7567434906959534,1.0,continuous_viterbi_v1,0.15139064192771912,nan,nan,run_state_viterbi,nan,2026-04-13,0.31537893414497375,0.3499999940395355,0.7631182074546814,0.31537893414497375,0.4444444444444444,0.0,0.0,-0.28768205642700195,0.0,-0.008047095499932766,0.2796349609270692,1.0,7.090141773223877,0.9808292388916016,0.7631183862686157,-0.7631183862686157,0.9808292388916016,-0.9808292388916016,1.0,analytic,261.0,7.090141773223877,ok,1.0,1.0,0.6000000238418579,2.079441547393799,54.0,ok,1.316323161125183,1.0986123085021973,1.0,15.0,0.2777777910232544,0.20000000298023224,0.2,1.0,75.0,1.0,weighted_median,ok,0.0,2.079441547393799,aba_train_arctic_a0022,nan,0.05726541578769684,nan,0.3058580160140991,0.29745355248451233,0.29745355248451233,-0.28768205642700195,4,-0.008047095499932766,nan,-43.0,0.525,0.525,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079441547393799,0.7200000286102295,0.7688022255897522,ok,1.0,1.0,0.7688022255897522,0.33333332672197086,75,0.0,0.0,source_only,source_only,7.18,aba_train_arctic_a0022,aba_train_arctic_a0022,aba_train_arctic_a0022,aba,7.18,0.7688022255897522,0.7005322575569153,0.6222747564315796,-0.3462599515914917,27.0,-11.723123550415039,1.0,1,nan,1.0,1,nan,aba_train_arctic_a0022::source_only,0.32499998807907104,nan,1.2021692991256714,aba_train_arctic_a0022,40,196.0,0.31537893414497375,1.3541666666666667,1.358339097764757,1.3541666666666667,1.1019810438156128,0.7688022255897522,0.042516618967056274,1.073098063468933,,aba_train_arctic_a0022,exact_global_family,aba_train_arctic_a0022,aba,projection_raw,218.0,-0.13333333273612724,0.19999999398584362,0.23489601964693185,0.12499999928575464,0.23489601964693185,0.19999999398584362,0.33333332672197086,,,aba_train_arctic_a0022,0.0
0.6495149731636047,1.0,continuous_viterbi_v1,0.4071730673313141,nan,nan,run_state_viterbi,nan,2026-04-13,0.3073614239692688,0.3499999940395355,0.4562895894050598,0.3073614239692688,0.3157894736842105,0.0,0.0,0.28768205642700195,0.0,-0.007977903820574284,0.29565996024757624,1.0,1.5880249738693237,0.0,-0.45628976821899414,0.45628976821899414,0.0,-0.0,1.0,analytic,83.0,-1.5880249738693237,ok,1.0,1.0,0.6000000238418579,1.0986123085021973,40.0,ok,1.5549020767211914,1.0986123085021973,1.0,8.0,0.20000000298023224,0.1568627506494522,0.2,1.0,51.0,1.0,weighted_median,ok,0.0,1.0986123085021973,asi_train_arctic_a0027,nan,0.04866974428296089,nan,-0.3134221136569977,-0.3252312242984772,-0.3252312242984772,0.28768205642700195,7,-0.007977903820574284,nan,123.0,0.4642857142857143,0.4642857142857143,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123085021973,0.7843137383460999,0.880382776260376,ok,1.0,1.0,0.880382776260376,0.33333332672197086,51,0.0,0.0,slow,slow,4.18,asi_train_arctic_a0022,asi_train_arctic_a0022,asi_train_arctic_a0022,asi,4.18,0.880382776260376,0.6589463949203491,0.5895915031433105,-0.3478125333786011,19.0,-11.273103713989258,1.0,1,nan,0.0,0,nan,asi_train_arctic_a0027::slow,0.3214285671710968,nan,0.5079309940338135,asi_train_arctic_a0027,28,112.0,-0.3073614239692688,0.7282608695652174,0.731284183004628,0.7282608695652174,1.0252556800842285,0.880382776260376,0.1413538008928299,1.0842808485031128,,asi_train_arctic_a0027,exact_global_family,asi_train_arctic_a0027,asi,projection_raw,206.0,0.16666667232570198,0.49999999904767284,0.4444444285071707,0.4444444285071707,0.4444444285071707,0.49999999904767284,0.33333332672197086,,,asi_train_arctic_a0027,0.0
0.6495149731636047,1.0,continuous_viterbi_v1,0.4071730673313141,nan,nan,run_state_viterbi,nan,2026-04-13,0.24758684635162354,0.3499999940395355,0.39100828766822815,0.24758684635162354,0.6842105263157895,0.0,0.0,-0.3364722728729248,0.0,-0.008020414970815182,0.3284518579021096,1.0,2.3456649780273438,0.8472979068756104,0.3910081386566162,-0.3910081386566162,0.8472979068756104,-0.8472979068756104,1.0,analytic,139.0,2.3456649780273438,ok,1.0,1.0,0.6000000238418579,1.9459102153778076,32.0,ok,1.5549020767211914,1.0986123085021973,1.0,7.0,0.21875,0.15555556118488312,0.2,1.0,45.0,1.0,weighted_median,ok,0.0,1.9459102153778076,asi_train_arctic_a0027,nan,0.05089394003152847,nan,0.2205146849155426,0.2149360030889511,0.2149360030889511,-0.3364722728729248,7,-0.008020414970815182,nan,67.0,0.4642857142857143,0.4642857142857143,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459102153778076,0.7111111283302307,0.8333333134651184,ok,1.0,1.0,0.8333333134651184,0.33333332672197086,45,0.0,0.0,mid,mid,3.96,asi_train_arctic_a0016,asi_train_arctic_a0016,asi_train_arctic_a0016,asi,3.96,0.8333333134651184,0.6664413809776306,0.5895915031433105,-0.3344007432460785,19.0,-10.624285697937012,1.0,1,nan,0.0,0,nan,asi_train_arctic_a0027::mid,0.3214285671710968,nan,0.5297406315803528,asi_train_arctic_a0027,28,112.0,0.24758684635162354,1.2608695652173914,1.2622786812160327,1.2608695652173914,1.0248557329177856,0.8333333134651184,0.1413538008928299,1.0272728204727173,,asi_train_arctic_a0027,exact_global_family,asi_train_arctic_a0027,asi,projection_raw,206.0,-0.08333332767429802,0.24999999904767284,0.23489601964693185,0.19047619749752703,0.23489601964693185,0.24999999904767284,0.33333332672197086,,,asi_train_arctic_a0027,0.0
0.6495149731636047,1.0,continuous_viterbi_v1,0.4071730673313141,nan,nan,run_state_viterbi,nan,2026-04-13,0.3499999940395355,0.3499999940395355,1.489620566368103,0.3499999940395355,1.0,0.0,0.0,-0.3499999940395355,0.0,-0.008394142612814903,0.3416058514267206,1.0,2.339810609817505,1.9459102153778076,1.4896204471588135,-1.4896204471588135,1.9459102153778076,-1.9459102153778076,1.0,analytic,152.0,2.339810609817505,ok,1.0,1.0,0.6000000238418579,3.044522523880005,28.0,ok,1.5549020767211914,1.0986123085021973,1.0,3.0,0.1071428582072258,0.0833333358168602,0.2,1.0,36.0,1.0,weighted_median,ok,0.0,3.044522523880005,asi_train_arctic_a0027,nan,0.051347456872463226,nan,0.34999993443489075,0.3261376619338989,0.3261376619338989,-0.3499999940395355,7,-0.008394142612814903,nan,54.0,0.4642857142857143,0.4642857142857143,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522523880005,0.7777777910232544,0.7938144207000732,ok,1.0,1.0,0.7938144207000732,0.33333332672197086,36,0.0,0.0,fast,fast,3.88,asi_train_arctic_a0019,asi_train_arctic_a0019,asi_train_arctic_a0019,asi,3.88,0.7938144207000732,0.6658539175987244,0.5895915031433105,-0.3361870050430298,19.0,-10.19635009765625,1.0,1,nan,0.0,0,nan,asi_train_arctic_a0027::fast,0.3214285671710968,nan,0.5575184226036072,asi_train_arctic_a0027,28,112.0,0.3499999940395355,1.391304347826087,1.4190675486689028,1.391304347826087,1.0535846948623657,0.7938144207000732,0.1413538008928299,1.0582993030548096,,asi_train_arctic_a0027,exact_global_family,asi_train_arctic_a0027,asi,projection_raw,206.0,-0.08333332767429802,0.24999999904767284,0.23489601964693185,0.06349205700435837,0.23489601964693185,0.24999999904767284,0.33333332672197086,,,asi_train_arctic_a0027,0.0
0.6495149731636047,1.0,continuous_viterbi_v1,0.4071730673313141,nan,nan,run_state_viterbi,nan,2026-04-13,0.24758684635162354,0.3499999940395355,0.39100828766822815,0.24758684635162354,0.6842105263157895,0.0,0.0,-0.3364722728729248,0.0,-0.008020414970815182,0.3284518579021096,1.0,2.3456649780273438,0.8472979068756104,0.3910081386566162,-0.3910081386566162,0.8472979068756104,-0.8472979068756104,1.0,analytic,139.0,2.3456649780273438,ok,1.0,1.0,0.6000000238418579,1.9459102153778076,45.0,ok,1.5549020767211914,1.0986123085021973,1.0,4.0,0.08888889104127884,0.0833333358168602,0.2,1.0,48.0,1.0,weighted_median,ok,0.0,1.9459102153778076,asi_train_arctic_a0027,nan,0.05089394003152847,nan,0.2205146849155426,0.2149360030889511,0.2149360030889511,-0.3364722728729248,7,-0.008020414970815182,nan,67.0,0.4642857142857143,0.4642857142857143,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459102153778076,0.9375,0.9257425665855408,ok,1.0,1.0,0.9257425665855408,0.33333332672197086,48,0.0,0.0,random_ref,random_ref,4.04,slt_train_arctic_a0017,slt_train_arctic_a0017,slt_train_arctic_a0017,slt,4.04,0.9257425665855408,0.6664413809776306,0.5895915031433105,-0.3344007432460785,19.0,-10.624285697937012,0.0,0,nan,0.0,0,nan,asi_train_arctic_a0027::random_ref,0.3214285671710968,nan,0.5297406315803528,asi_train_arctic_a0027,28,112.0,0.24758684635162354,1.2608695652173914,1.2622786812160327,1.2608695652173914,1.0248557329177856,0.9257425665855408,0.1413538008928299,1.0272728204727173,,asi_train_arctic_a0027,exact_global_family,asi_train_arctic_a0027,asi,projection_raw,206.0,-0.08333332767429802,0.24999999904767284,0.23489601964693185,0.19047619749752703,0.23489601964693185,0.24999999904767284,0.33333332672197086,,,asi_train_arctic_a0027,0.0
0.6495149731636047,1.0,continuous_viterbi_v1,0.4071730673313141,nan,nan,run_state_viterbi,nan,2026-04-13,0.24758684635162354,0.3499999940395355,0.39100828766822815,0.24758684635162354,0.6842105263157895,0.0,0.0,-0.3364722728729248,0.0,-0.008020414970815182,0.3284518579021096,1.0,2.3456649780273438,0.8472979068756104,0.3910081386566162,-0.3910081386566162,0.8472979068756104,-0.8472979068756104,1.0,analytic,139.0,2.3456649780273438,ok,1.0,1.0,0.6000000238418579,1.9459102153778076,34.0,ok,1.5549020767211914,1.0986123085021973,1.0,9.0,0.2647058963775635,0.18367347121238708,0.2,1.0,49.0,1.0,weighted_median,ok,0.0,1.9459102153778076,asi_train_arctic_a0027,nan,0.05089394003152847,nan,0.2205146849155426,0.2149360030889511,0.2149360030889511,-0.3364722728729248,7,-0.008020414970815182,nan,67.0,0.4642857142857143,0.4642857142857143,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459102153778076,0.6938775777816772,0.7881773114204407,ok,1.0,1.0,0.7881773114204407,0.28867513118218263,49,0.0,0.0,source_only,source_only,4.06,asi_train_arctic_a0027,asi_train_arctic_a0027,asi_train_arctic_a0027,asi,4.06,0.7881773114204407,0.6664413809776306,0.5895915031433105,-0.3344007432460785,19.0,-10.624285697937012,1.0,1,nan,1.0,1,nan,asi_train_arctic_a0027::source_only,0.3214285671710968,nan,0.5297406315803528,asi_train_arctic_a0027,28,112.0,0.24758684635162354,1.2608695652173914,1.2622786812160327,1.2608695652173914,1.0248557329177856,0.7881773114204407,0.1413538008928299,1.0272728204727173,,asi_train_arctic_a0027,exact_global_family,asi_train_arctic_a0027,asi,projection_raw,206.0,-0.08333332767429802,0.24999999904767284,0.23489601964693185,0.19047619749752703,0.23489601964693185,0.24999999904767284,0.33333332672197086,,,asi_train_arctic_a0027,0.0
