alignment_cost_mean,alignment_coverage_mean,alignment_kind,alignment_match_mean,alignment_mean_coarse_confidence_speech,alignment_mean_local_confidence_speech,alignment_source,alignment_unmatched_speech_ratio,alignment_version,analytic_gap_abs_mean,budget_hit_neg_rate,budget_hit_pos_rate,c_star,coarse_bias_abs_mean,coarse_scalar_raw,coarse_target_abs_err,commit_ratio,cumulative_drift,delta_g,delta_g_ref_minus_src_prefix,delta_g_ref_minus_src_prefix_neg,delta_g_ref_minus_src_utt,delta_g_ref_minus_src_utt_neg,detach_global_term_in_local_head,eval_mode,exec_total_units,final_prefix_offset,g_compute_status,g_domain_valid,g_drop_edge_runs,g_min_speech_ratio,g_ref,g_speech_count,g_src_compute_status,g_src_prefix_mean,g_src_utt,g_strict_speech_only,g_support_count,g_support_ratio_vs_speech,g_support_ratio_vs_valid,g_trim_ratio,g_valid,g_valid_count,g_valid_support,g_variant,gate0_drop_reason,gate0_row_dropped,global_rate,item_name,lexical_mismatch,local_residual_abs_mean,local_silence_delta_share,oracle_bias,pair_id,predicted_bias,prefix_discrepancy,projection_conservation_error,projector_boundary_decay_rate,projector_boundary_hit_rate,prompt_g_invalid_clean,prompt_g_invalid_low_speech_ratio,prompt_g_invalid_missing_boundary,prompt_g_invalid_missing_closed,prompt_g_invalid_no_speech,prompt_g_invalid_ref_len,prompt_g_invalid_support,prompt_g_speech_ratio_count,prompt_g_speech_ratio_weighted,prompt_global_weight_present,prompt_speech_mask_explicit,prompt_speech_ratio,prompt_tempo_ref,prompt_total_units,prompt_unit_log_prior_present,prompt_unit_prior_vocab_size,ref_bin,ref_condition,ref_len_sec,ref_name,ref_pair_item_name,ref_prompt_id,ref_spk,reference_seconds,reference_speech_ratio,residual_bias_share,residual_gate_mean,residual_target_corr,residual_target_count,residual_target_slope,same_speaker,same_speaker_reference,same_speaker_target,same_text,same_text_reference,same_text_target,sample_id,silence_fraction,silence_leakage,silence_mae,source_name,source_run_count,source_total_units,speech_analytic_mean,speech_mae,speech_ratio,speech_target_mean,speech_weighted_mae,split,src_id,src_prompt_id,src_spk,target_duration_surface,target_total_units,tempo_delta,tempo_out,tempo_src,tgt_prompt_id,tgt_spk,utt_id,zbar_sp_star
0.6758102178573608,1.0,continuous_viterbi_v1,0.1908321976661682,nan,nan,run_state_viterbi,nan,2026-04-13,0.29094094038009644,0.0,0.0,-0.2960524559020996,0.0,-0.007996273227036,0.2880561826750636,1.0,3.7808399200439453,0.40546512603759766,0.41958892345428467,-0.41958892345428467,0.40546512603759766,-0.40546512603759766,1.0,analytic,234.0,3.7808399200439453,ok,1.0,1.0,0.6000000238418579,1.7917594909667969,28.0,ok,1.3721705675125122,1.3862943649291992,1.0,9.0,0.3214285671710968,0.22499999403953552,0.2,1.0,40.0,1.0,softclean_wmed,ok,0.0,1.7917594909667969,aba_train_arctic_a0024,nan,0.04087604582309723,1114355.375,-0.2960524559020996,6,-0.007996273227036,nan,-40.0,0.43478260869565216,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.8015267252922058,1.0,1.0,0.8015267252922058,0.18257418110551457,40,0.0,0.0,slow,slow,5.24,aba_train_arctic_a0017,aba_train_arctic_a0017,aba_train_arctic_a0017,aba,5.24,0.8015267252922058,0.6733344793319702,0.5710686445236206,-0.1520044058561325,33.0,-10.120820999145508,1.0,1,nan,0.0,0,nan,aba_train_arctic_a0024::slow,0.28260868787765503,1114355.375,0.8213741779327393,aba_train_arctic_a0024,46,180.0,0.29094094038009644,1.05119788646698,0.8015267252922058,-0.2151491641998291,1.033684253692627,,aba_train_arctic_a0024,aba_train_arctic_a0024,aba,projection_raw,194.0,-0.05000000506182922,0.19999999398584362,0.24999999904767284,,,aba_train_arctic_a0024,0.0
0.6758102178573608,1.0,continuous_viterbi_v1,0.1908321976661682,nan,nan,run_state_viterbi,nan,2026-04-13,0.19349655508995056,0.0,0.0,0.10941267013549805,0.0,-0.007967396639287472,0.11738006677478552,1.0,3.5406858921051025,0.0,0.014123797416687012,-0.014123797416687012,0.0,-0.0,1.0,analytic,182.0,3.5406858921051025,ok,1.0,1.0,0.6000000238418579,1.3862943649291992,46.0,ok,1.3721705675125122,1.3862943649291992,1.0,18.0,0.3913043439388275,0.23999999463558197,0.2,1.0,75.0,1.0,softclean_wmed,ok,0.0,1.3862943649291992,aba_train_arctic_a0024,nan,0.04008956253528595,145709.984375,0.10941267013549805,6,-0.007967396639287472,nan,12.0,0.43478260869565216,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6133333444595337,0.8040935397148132,1.0,1.0,0.8040935397148132,0.24999999904767284,75,0.0,0.0,mid,mid,6.84,aba_train_arctic_a0023,aba_train_arctic_a0023,aba_train_arctic_a0023,aba,6.84,0.8040935397148132,0.6714587211608887,0.5710686445236206,-0.1423470675945282,33.0,-9.628232955932617,1.0,1,nan,0.0,0,nan,aba_train_arctic_a0024::mid,0.28260868787765503,145709.984375,0.709873616695404,aba_train_arctic_a0024,46,180.0,0.01429098378866911,1.0351146459579468,0.8040935397148132,-0.2151491641998291,1.0544724464416504,,aba_train_arctic_a0024,aba_train_arctic_a0024,aba,projection_raw,194.0,0.0,0.24999999904767284,0.24999999904767284,,,aba_train_arctic_a0024,0.0
0.6758102178573608,1.0,continuous_viterbi_v1,0.1908321976661682,nan,nan,run_state_viterbi,nan,2026-04-13,0.20970813930034637,0.0,0.0,-0.11373090744018555,0.0,-0.007977033033967018,0.10575387440621853,1.0,3.7687807083129883,0.2231435775756836,0.2372673749923706,-0.2372673749923706,0.2231435775756836,-0.2231435775756836,1.0,analytic,210.0,3.7687807083129883,ok,1.0,1.0,0.6000000238418579,1.6094379425048828,32.0,ok,1.3721705675125122,1.3862943649291992,1.0,6.0,0.1875,0.1463414579629898,0.2,1.0,41.0,1.0,softclean_wmed,ok,0.0,1.6094379425048828,aba_train_arctic_a0024,nan,0.040535490959882736,799999.9375,-0.11373090744018555,6,-0.007977033033967018,nan,-16.0,0.43478260869565216,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7804877758026123,0.7692307829856873,1.0,1.0,0.7692307829856873,0.33333332672197086,41,0.0,0.0,fast,fast,5.72,aba_train_arctic_a0016,aba_train_arctic_a0016,aba_train_arctic_a0016,aba,5.72,0.7692307829856873,0.6725918054580688,0.5710686445236206,-0.15750214457511902,33.0,-9.93967342376709,1.0,1,nan,0.0,0,nan,aba_train_arctic_a0024::fast,0.28260868787765503,799999.9375,0.777912437915802,aba_train_arctic_a0024,46,180.0,0.181349977850914,1.0313810110092163,0.7692307829856873,-0.2151491641998291,1.0301413536071777,,aba_train_arctic_a0024,aba_train_arctic_a0024,aba,projection_raw,194.0,-0.05000000506182922,0.19999999398584362,0.24999999904767284,,,aba_train_arctic_a0024,0.0
0.6758102178573608,1.0,continuous_viterbi_v1,0.1908321976661682,nan,nan,run_state_viterbi,nan,2026-04-13,0.20970813930034637,0.0,0.0,-0.11373090744018555,0.0,-0.007977033033967018,0.10575387440621853,1.0,3.7687807083129883,0.2231435775756836,0.2372673749923706,-0.2372673749923706,0.2231435775756836,-0.2231435775756836,1.0,analytic,210.0,3.7687807083129883,ok,1.0,1.0,0.6000000238418579,1.6094379425048828,34.0,ok,1.3721705675125122,1.3862943649291992,1.0,9.0,0.2647058963775635,0.18367347121238708,0.2,1.0,49.0,1.0,softclean_wmed,ok,0.0,1.6094379425048828,aba_train_arctic_a0024,nan,0.040535490959882736,799999.9375,-0.11373090744018555,6,-0.007977033033967018,nan,-16.0,0.43478260869565216,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938775777816772,0.7881773114204407,1.0,1.0,0.7881773114204407,0.28867513118218263,49,0.0,0.0,random_ref,random_ref,4.06,asi_train_arctic_a0027,asi_train_arctic_a0027,asi_train_arctic_a0027,asi,4.06,0.7881773114204407,0.6725918054580688,0.5710686445236206,-0.15750214457511902,33.0,-9.93967342376709,0.0,0,nan,0.0,0,nan,aba_train_arctic_a0024::random_ref,0.28260868787765503,799999.9375,0.777912437915802,aba_train_arctic_a0024,46,180.0,0.181349977850914,1.0313810110092163,0.7881773114204407,-0.2151491641998291,1.0301413536071777,,aba_train_arctic_a0024,aba_train_arctic_a0024,aba,projection_raw,194.0,-0.05000000506182922,0.19999999398584362,0.24999999904767284,,,aba_train_arctic_a0024,0.0
0.6758102178573608,1.0,continuous_viterbi_v1,0.1908321976661682,nan,nan,run_state_viterbi,nan,2026-04-13,0.19349655508995056,0.0,0.0,0.10941267013549805,0.0,-0.007967396639287472,0.11738006677478552,1.0,3.5406858921051025,0.0,0.014123797416687012,-0.014123797416687012,0.0,-0.0,1.0,analytic,182.0,3.5406858921051025,ok,1.0,1.0,0.6000000238418579,1.3862943649291992,52.0,ok,1.3721705675125122,1.3862943649291992,1.0,12.0,0.23076923191547394,0.1764705926179886,0.2,1.0,68.0,1.0,softclean_wmed,ok,0.0,1.3862943649291992,aba_train_arctic_a0024,nan,0.04008956253528595,145709.984375,0.10941267013549805,6,-0.007967396639287472,nan,12.0,0.43478260869565216,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058963775635,0.8345323801040649,1.0,1.0,0.8345323801040649,0.28867513118218263,68,0.0,0.0,source_only,source_only,5.56,aba_train_arctic_a0024,aba_train_arctic_a0024,aba_train_arctic_a0024,aba,5.56,0.8345323801040649,0.6714587211608887,0.5710686445236206,-0.1423470675945282,33.0,-9.628232955932617,1.0,1,nan,1.0,1,nan,aba_train_arctic_a0024::source_only,0.28260868787765503,145709.984375,0.709873616695404,aba_train_arctic_a0024,46,180.0,0.01429098378866911,1.0351146459579468,0.8345323801040649,-0.2151491641998291,1.0544724464416504,,aba_train_arctic_a0024,aba_train_arctic_a0024,aba,projection_raw,194.0,0.0,0.24999999904767284,0.24999999904767284,,,aba_train_arctic_a0024,0.0
0.6385669112205505,1.0,continuous_viterbi_v1,0.3837989866733551,nan,nan,run_state_viterbi,nan,2026-04-13,0.33117473125457764,0.0,0.0,0.5582584142684937,0.0,-0.007977033033967018,0.5662354473024607,1.0,2.221780776977539,0.0,0.38422274589538574,-0.38422274589538574,0.0,-0.0,1.0,analytic,144.0,2.221780776977539,ok,1.0,1.0,0.6000000238418579,1.6094379425048828,34.0,ok,1.225215196609497,1.6094379425048828,1.0,9.0,0.2647058963775635,0.18367347121238708,0.2,1.0,49.0,1.0,softclean_wmed,ok,0.0,1.6094379425048828,asi_train_arctic_a0019,nan,0.05085795372724533,603029.5,0.5582584142684937,2,-0.007977033033967018,nan,45.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938775777816772,0.7881773114204407,1.0,1.0,0.7881773114204407,0.28867513118218263,49,0.0,0.0,slow,slow,4.06,asi_train_arctic_a0027,asi_train_arctic_a0027,asi_train_arctic_a0027,asi,4.06,0.7881773114204407,0.6998680233955383,0.6474117636680603,-0.46409547328948975,13.0,-18.028627395629883,1.0,1,nan,0.0,0,nan,asi_train_arctic_a0019::slow,0.3499999940395355,603029.5,0.6385216116905212,asi_train_arctic_a0019,20,108.0,0.33117473125457764,1.218914270401001,0.7881773114204407,0.31243500113487244,1.1942325830459595,,asi_train_arctic_a0019,asi_train_arctic_a0019,asi,projection_raw,189.0,-0.05714286060334248,0.14285713338250114,0.19999999398584362,,,asi_train_arctic_a0019,0.9082584381103516
0.6385669112205505,1.0,continuous_viterbi_v1,0.3837989866733551,nan,nan,run_state_viterbi,nan,2026-04-13,0.16107915341854095,0.0,0.0,0.7496188879013062,0.0,-0.007967396639287472,0.7575862845405936,1.0,0.7556807994842529,-0.2231435775756836,0.16107916831970215,-0.16107916831970215,-0.2231435775756836,0.2231435775756836,1.0,analytic,128.0,0.7556807994842529,ok,1.0,1.0,0.6000000238418579,1.3862943649291992,32.0,ok,1.225215196609497,1.6094379425048828,1.0,7.0,0.21875,0.15555556118488312,0.2,1.0,45.0,1.0,softclean_wmed,ok,0.0,1.3862943649291992,asi_train_arctic_a0019,nan,0.050307054072618484,37682.0546875,0.7496188879013062,2,-0.007967396639287472,nan,61.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7111111283302307,0.8333333134651184,1.0,1.0,0.8333333134651184,0.33333332672197086,45,0.0,0.0,mid,mid,3.96,asi_train_arctic_a0016,asi_train_arctic_a0016,asi_train_arctic_a0016,asi,3.96,0.8333333134651184,0.6981224417686462,0.6474117636680603,-0.5138199925422668,13.0,-18.757089614868164,1.0,1,nan,0.0,0,nan,asi_train_arctic_a0019::mid,0.3499999940395355,37682.0546875,0.5929967164993286,asi_train_arctic_a0019,20,108.0,0.16107915341854095,1.23147714138031,0.8333333134651184,0.31243500113487244,1.243533730506897,,asi_train_arctic_a0019,asi_train_arctic_a0019,asi,projection_raw,189.0,0.0,0.19999999398584362,0.19999999398584362,,,asi_train_arctic_a0019,0.9082584381103516
0.6385669112205505,1.0,continuous_viterbi_v1,0.3837989866733551,nan,nan,run_state_viterbi,nan,2026-04-13,0.1266029328107834,0.0,0.0,1.037300944328308,0.0,-0.007977903820574284,1.0452788481488824,1.0,1.008857250213623,-0.5108256340026855,-0.1266028881072998,0.1266028881072998,-0.5108256340026855,0.5108256340026855,1.0,analytic,98.0,-1.008857250213623,ok,1.0,1.0,0.6000000238418579,1.0986123085021973,37.0,ok,1.225215196609497,1.6094379425048828,1.0,8.0,0.21621622145175934,0.1428571492433548,0.2,1.0,56.0,1.0,softclean_wmed,ok,0.0,1.0986123085021973,asi_train_arctic_a0019,nan,0.04943046718835831,0.0,1.037300944328308,2,-0.007977903820574284,nan,91.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607142686843872,0.8383838534355164,1.0,1.0,0.8383838534355164,0.49999999904767284,56,0.0,0.0,fast,fast,3.96,asi_train_arctic_a0017,asi_train_arctic_a0017,asi_train_arctic_a0017,asi,3.96,0.8383838534355164,0.6956568360328674,0.6474117636680603,-0.5138199925422668,13.0,-19.266759872436523,1.0,1,nan,0.0,0,nan,asi_train_arctic_a0019::fast,0.3499999940395355,0.0,0.6194887161254883,asi_train_arctic_a0019,20,108.0,-0.1266029179096222,1.3729254007339478,0.8383838534355164,0.31243500113487244,1.4284042119979858,,asi_train_arctic_a0019,asi_train_arctic_a0019,asi,projection_raw,189.0,0.05000000506182922,0.24999999904767284,0.19999999398584362,,,asi_train_arctic_a0019,0.9082584381103516
0.6385669112205505,1.0,continuous_viterbi_v1,0.3837989866733551,nan,nan,run_state_viterbi,nan,2026-04-13,0.33117473125457764,0.0,0.0,0.5582584142684937,0.0,-0.007977033033967018,0.5662354473024607,1.0,2.221780776977539,0.0,0.38422274589538574,-0.38422274589538574,0.0,-0.0,1.0,analytic,144.0,2.221780776977539,ok,1.0,1.0,0.6000000238418579,1.6094379425048828,32.0,ok,1.225215196609497,1.6094379425048828,1.0,6.0,0.1875,0.1463414579629898,0.2,1.0,41.0,1.0,softclean_wmed,ok,0.0,1.6094379425048828,asi_train_arctic_a0019,nan,0.05085795372724533,603029.5,0.5582584142684937,2,-0.007977033033967018,nan,45.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7804877758026123,0.7692307829856873,1.0,1.0,0.7692307829856873,0.33333332672197086,41,0.0,0.0,random_ref,random_ref,5.72,aba_train_arctic_a0016,aba_train_arctic_a0016,aba_train_arctic_a0016,aba,5.72,0.7692307829856873,0.6998680233955383,0.6474117636680603,-0.46409547328948975,13.0,-18.028627395629883,0.0,0,nan,0.0,0,nan,asi_train_arctic_a0019::random_ref,0.3499999940395355,603029.5,0.6385216116905212,asi_train_arctic_a0019,20,108.0,0.33117473125457764,1.218914270401001,0.7692307829856873,0.31243500113487244,1.1942325830459595,,asi_train_arctic_a0019,asi_train_arctic_a0019,asi,projection_raw,189.0,-0.05714286060334248,0.14285713338250114,0.19999999398584362,,,asi_train_arctic_a0019,0.9082584381103516
0.6385669112205505,1.0,continuous_viterbi_v1,0.3837989866733551,nan,nan,run_state_viterbi,nan,2026-04-13,0.33117473125457764,0.0,0.0,0.5582584142684937,0.0,-0.007977033033967018,0.5662354473024607,1.0,2.221780776977539,0.0,0.38422274589538574,-0.38422274589538574,0.0,-0.0,1.0,analytic,144.0,2.221780776977539,ok,1.0,1.0,0.6000000238418579,1.6094379425048828,28.0,ok,1.225215196609497,1.6094379425048828,1.0,3.0,0.1071428582072258,0.0833333358168602,0.2,1.0,36.0,1.0,softclean_wmed,ok,0.0,1.6094379425048828,asi_train_arctic_a0019,nan,0.05085795372724533,603029.5,0.5582584142684937,2,-0.007977033033967018,nan,45.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777910232544,0.7938144207000732,1.0,1.0,0.7938144207000732,0.33333332672197086,36,0.0,0.0,source_only,source_only,3.88,asi_train_arctic_a0019,asi_train_arctic_a0019,asi_train_arctic_a0019,asi,3.88,0.7938144207000732,0.6998680233955383,0.6474117636680603,-0.46409547328948975,13.0,-18.028627395629883,1.0,1,nan,1.0,1,nan,asi_train_arctic_a0019::source_only,0.3499999940395355,603029.5,0.6385216116905212,asi_train_arctic_a0019,20,108.0,0.33117473125457764,1.218914270401001,0.7938144207000732,0.31243500113487244,1.1942325830459595,,asi_train_arctic_a0019,asi_train_arctic_a0019,asi,projection_raw,189.0,-0.05714286060334248,0.14285713338250114,0.19999999398584362,,,asi_train_arctic_a0019,0.9082584381103516
