bc_max,bc_mean,bc_p90,clean_count_000,clean_count_030,clean_count_035,clean_count_040,clean_count_045,clean_count_050,closed_run_count,configured_clean_count,configured_g_domain_valid,configured_support_count,configured_support_domain_valid,configured_support_seed_count,configured_support_weight,g_domain_valid_000,g_domain_valid_030,g_domain_valid_035,g_domain_valid_040,g_domain_valid_045,g_domain_valid_050,item_name,num_prompt_runs,open_run_count,prompt_id,prompt_ref_len_sec,prompt_ref_len_valid,prompt_speech_ratio,prompt_speech_ratio_valid,raw_silent_token_count,sep_nonzero_count,source_boundary_max,source_phrase_reachable,source_phrase_threshold,source_silence_run_count,speaker,speech_run_count,split,support_count_000,support_count_030,support_count_035,support_count_040,support_count_045,support_count_050,support_domain_valid_000,support_domain_valid_030,support_domain_valid_035,support_domain_valid_040,support_domain_valid_045,support_domain_valid_050,support_seed_count_000,support_seed_count_030,support_seed_count_035,support_seed_count_040,support_seed_count_045,support_seed_count_050,support_weight_000,support_weight_030,support_weight_035,support_weight_040,support_weight_045,support_weight_050,valid_run_count
0.9098618030548096,0.42725032567977905,0.7173357605934143,32.0,16.0,11.0,9.0,9.0,8.0,41.0,8.0,1.0,6.0,1.0,8.0,15.283162117004395,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0016,41,0.0,arctic_a0016,5.71999979019165,1.0,0.7692307829856873,1.0,0,13,0.9272214770317078,1.0,0.55,9.0,aba,32.0,train,30.0,14.0,9.0,7.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,16.0,11.0,9.0,9.0,8.0,20.968040466308594,15.283162117004395,15.283162117004395,15.283162117004395,15.283162117004395,15.283162117004395,41.0
0.7902711629867554,0.4897844195365906,0.702658486366272,28.0,19.0,17.0,13.0,12.0,11.0,40.0,11.0,1.0,9.0,1.0,11.0,13.632925033569336,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0017,40,0.0,arctic_a0017,5.239999771118164,1.0,0.8015267252922058,1.0,0,20,0.8297280669212341,1.0,0.55,12.0,aba,28.0,train,26.0,17.0,15.0,11.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,19.0,17.0,13.0,12.0,11.0,19.412094116210938,14.882798194885254,13.928838729858398,13.632925033569336,13.632925033569336,13.632925033569336,40.0
0.9655256271362305,0.49992284178733826,0.7725893855094913,25.0,13.0,10.0,10.0,10.0,8.0,38.0,8.0,1.0,6.0,1.0,8.0,12.478005409240723,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0019,38,0.0,arctic_a0019,5.320000171661377,1.0,0.8007518649101257,1.0,0,20,0.9721592664718628,1.0,0.55,13.0,aba,25.0,train,23.0,11.0,8.0,8.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,13.0,10.0,10.0,10.0,8.0,16.193561553955078,12.67105484008789,12.478005409240723,12.478005409240723,12.478005409240723,12.478005409240723,38.0
0.9437494277954102,0.4790501296520233,0.6887781143188477,30.0,16.0,14.0,14.0,13.0,11.0,43.0,11.0,1.0,9.0,1.0,11.0,14.449382781982422,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0020,43,0.0,arctic_a0020,4.300000190734863,1.0,0.8186046481132507,1.0,0,20,0.9547228813171387,1.0,0.55,13.0,aba,30.0,train,28.0,14.0,12.0,12.0,11.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,16.0,14.0,14.0,13.0,11.0,20.44583511352539,15.275701522827148,14.449382781982422,14.449382781982422,14.449382781982422,14.449382781982422,43.0
0.9512557983398438,0.461344450712204,0.6990802526474,54.0,32.0,23.0,19.0,18.0,17.0,75.0,17.0,1.0,15.0,1.0,17.0,25.491662979125977,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0022,75,0.0,arctic_a0022,7.179999828338623,1.0,0.7688022255897522,1.0,0,31,0.9606276750564575,1.0,0.55,21.0,aba,54.0,train,52.0,30.0,21.0,17.0,16.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,54.0,32.0,23.0,19.0,18.0,17.0,35.11643600463867,26.359413146972656,25.491662979125977,25.491662979125977,25.491662979125977,25.491662979125977,75.0
0.9610309600830078,0.5208695530891418,0.8052290201187134,46.0,28.0,22.0,21.0,20.0,20.0,75.0,20.0,1.0,18.0,1.0,20.0,23.27615737915039,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0023,75,0.0,arctic_a0023,6.840000152587891,1.0,0.8040935397148132,1.0,0,44,0.9684877991676331,1.0,0.55,29.0,aba,46.0,train,44.0,26.0,20.0,19.0,18.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,28.0,22.0,21.0,20.0,20.0,29.578792572021484,23.789358139038086,23.27615737915039,23.27615737915039,23.27615737915039,23.27615737915039,75.0
0.9508357048034668,0.4393765330314636,0.7227814137935639,52.0,27.0,17.0,14.0,14.0,14.0,68.0,14.0,1.0,12.0,1.0,14.0,23.39664077758789,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0024,68,0.0,arctic_a0024,5.559999942779541,1.0,0.8345323801040649,1.0,0,24,0.9605491757392883,1.0,0.55,16.0,aba,52.0,train,50.0,25.0,15.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,27.0,17.0,14.0,14.0,14.0,32.8122673034668,23.831899642944336,23.39664077758789,23.39664077758789,23.39664077758789,23.39664077758789,68.0
0.9630515575408936,0.4728659391403198,0.6782089710235596,32.0,21.0,15.0,14.0,12.0,10.0,47.0,10.0,1.0,8.0,1.0,10.0,15.582140922546387,1.0,1.0,1.0,1.0,1.0,1.0,aba_train_arctic_a0027,47,0.0,arctic_a0027,5.440000057220459,1.0,0.8272058963775635,1.0,0,21,0.9701061844825745,1.0,0.55,15.0,aba,32.0,train,30.0,19.0,13.0,12.0,10.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,21.0,15.0,14.0,12.0,10.0,22.10004234313965,16.58133316040039,15.582140922546387,15.582140922546387,15.582140922546387,15.582140922546387,47.0
0.948773980140686,0.4628475606441498,0.6828554272651672,32.0,17.0,12.0,10.0,10.0,9.0,45.0,9.0,1.0,7.0,1.0,9.0,14.933170318603516,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0016,45,0.0,arctic_a0016,3.9600000381469727,1.0,0.8333333134651184,1.0,0,19,0.958529531955719,1.0,0.55,13.0,asi,32.0,train,30.0,15.0,10.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,17.0,12.0,10.0,10.0,9.0,20.05306053161621,15.421992301940918,14.933170318603516,14.933170318603516,14.933170318603516,14.933170318603516,45.0
0.9663946628570557,0.46256205439567566,0.6836723983287811,37.0,20.0,14.0,10.0,10.0,10.0,56.0,10.0,1.0,8.0,1.0,10.0,16.58224105834961,1.0,1.0,1.0,1.0,1.0,1.0,asi_train_arctic_a0017,56,0.0,arctic_a0017,3.9600000381469727,1.0,0.8383838534355164,1.0,0,24,0.9728602170944214,1.0,0.55,19.0,asi,37.0,train,35.0,18.0,12.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,20.0,14.0,10.0,10.0,10.0,22.571622848510742,16.94363784790039,16.58224105834961,16.58224105834961,16.58224105834961,16.58224105834961,56.0
